Year,Region,L1_Zymoseptoria_tritici_Disease_Severity,L1_Yellow_rust_Disease_Severity,L1_Zymoseptoria_tritici_Crop_Incidence,L1_Yellow_rust_Crop_Incidence,L2_Zymoseptoria_tritici_Disease_Severity,L2_Yellow_rust_Disease_Severity,L2_Zymoseptoria_tritici_Crop_Incidence,L2_Yellow_rust_Crop_Incidence
2018,East Midlands,0.19,0,39.583,0,1.002,0,60.417,0
2018,North East,0.024,0.004,10,10,0.004,0.012,10,10
2018,North West,0,0,0,0,0,0,0,0
2018,Scotland,0.04,0,100,0,0.04,0,100,0
2018,South East,0.629,0.011,62.5,3.125,3.537,0,81.25,0
2018,South West,0.456,0,60.714,0,2.179,0,67.857,0
2018,West Midlands,1.12,0.008,66.667,4.762,4.246,0,85.714,0
2018,Yorkshire and The Humber,0.107,0,31.429,0,0.592,0.002,62.857,2.857
2019,East,0.234,0.013,46.875,3.125,1.595,0.013,75,9.375
2019,East Midlands,1.253,0.003,61.364,2.273,1.918,0,77.273,0
2019,North East,0.316,0,45.455,0,2.52,0.004,72.727,9.091
2019,North West,0.533,0,50,0,6.553,0,100,0
2019,South East,1.52,0.005,39.394,6.061,1.782,0.002,78.788,6.061
2019,South West,0.231,0.006,42.308,3.846,1.342,0.032,69.231,3.846
2019,West Midlands,1.448,0,53.846,0,3.16,0,88.462,0
2019,Yorkshire and The Humber,1.998,0.007,52.778,2.778,2.201,0.008,77.778,2.778
2021,East,2.255,0.068,84.375,23.438,5.002,0.128,93.75,31.25
2021,East Midlands,2.964,0.005,83.333,10.417,5.933,0.015,85.417,20.833
2021,North East,2.878,0.539,83.333,16.667,5.8,0.26,100,33.333
2021,North West,6.643,0,66.667,0,6.746,0.003,66.667,16.667
2021,South East,3.297,0.115,92.308,25.641,8.958,0.196,97.436,33.333
2021,South West,2.36,0.003,78.125,9.375,7.974,0.219,100,43.75
2021,Wales,2.112,0.002,100,25,2.592,0,75,0
2021,West Midlands,1.466,0.007,90.909,13.636,4.652,0.007,95.455,18.182
2021,Yorkshire and The Humber,1.766,0.192,88,28,5.724,0.083,96,36
2022,East,0.47,0.004,53.061,4.082,1.319,0.01,71.429,7.143
2022,East Midlands,1.009,0.08,71.93,10.526,2.609,0.008,71.93,3.509
2022,North East,0.24,0.013,75,16.667,2.3,0.023,83.333,16.667
2022,North West,3.398,0,50,0,5.347,0,50,0
2022,South East,1.409,0.005,90.909,3.03,2.608,0.016,81.818,6.061
2022,South West,1.562,0.085,85.714,2.857,4.708,0.073,82.857,8.571
2022,Wales,5.617,0,100,0,14.928,0,100,0
2022,West Midlands,0.842,0,73.333,0,3.226,0.024,80,6.667
2022,Yorkshire and The Humber,0.757,0.018,72.222,8.333,2.68,0.141,83.333,13.889
2023,East,0.832,0.021,86.747,7.229,3.848,0.012,97.59,9.639
2023,East Midlands,0.199,0.002,64.407,5.085,2.038,0.015,91.525,8.475
2023,North East,0.193,0,77.778,0,3.734,0,88.889,0
2023,North West,0.36,0,100,0,4.92,0,100,0
2023,South East,1.57,0.001,85.366,2.439,4.292,0.002,92.683,2.439
2023,South West,0.598,0.045,90.323,6.452,6.475,0.059,93.548,9.677
2023,Wales,0.934,0.001,92.308,7.692,2.041,0.017,92.308,15.385
2023,West Midlands,0.607,0.005,88.889,3.704,3.343,0.008,96.296,3.704
2023,Yorkshire and The Humber,0.491,0.002,83.333,7.143,3.819,0.004,95.238,4.762
2024,East,2.145,0.011,100,4.412,6.239,0.02,98.529,10.294
2024,East Midlands,0.991,0.016,89.796,10.204,3.131,0.055,97.959,16.327
2024,North East,1.495,0.016,100,10,6.001,0,100,0
2024,North West,3.017,0.01,100,25,9.338,0.073,100,25
2024,South East,3.492,0,96.875,3.125,9.948,0.002,93.75,6.25
2024,South West,3.331,0,95.833,0,15.718,0,95.833,0
2024,Wales,3.939,0,100,0,14.082,0,100,0
2024,West Midlands,1.308,0.006,96.154,11.538,7.505,0.005,100,15.385
2024,Yorkshire and The Humber,2.075,0.004,100,8.824,6.512,0.015,100,11.765
2025,East,0.025,0.011,28.358,14.925,0.093,0.057,65.672,40.299
2025,East Midlands,0.047,0.043,34,18,0.251,0.097,70,34
2025,North East,0.002,0.151,20,40,0.026,0.228,50,60
2025,North West,0.016,0,33.333,0,0.292,0.027,66.667,33.333
2025,South East,0.018,0,15.625,0,0.313,0.004,65.625,12.5
2025,South West,0.065,0.127,50,16.667,0.54,0.264,75,12.5
2025,Wales,0.134,0,80,0,0.866,0,100,0
2025,West Midlands,0.013,0.012,33.333,12.5,0.161,0.054,75,20.833
2025,Yorkshire and The Humber,0.004,0.01,20,8.571,0.069,0.04,45.714,22.857
2026,East,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,East Midlands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,North East,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,North West,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,South East,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,South West,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,Wales,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,West Midlands,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2026,Yorkshire and The Humber,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
